Medium,Messtag,Wuchshöhe,Matrikelnummer
Acidic,2,0.0,2139315
Acidic,2,0.0,2139315
Acidic,2,0.0,2139315
Acidic,2,0.0,2139315
Acidic,2,0.0,2139315
Acidic,2,0.0,2139315
Acidic,2,0.0,2139315
Acidic,2,0.6666666666666666,2139315
Acidic,2,0.6666666666666666,2139315
Acidic,2,1.0,2139315
Acidic,2,1.0,2139315
Acidic,2,2.0,2139315
Acidic,2,2.0,2139315
Acidic,2,2.0,2139315
Acidic,2,2.0,2139315
Acidic,2,2.3333333333333335,2139315
Acidic,2,2.6666666666666665,2139315
Acidic,2,3.3333333333333335,2139315
Acidic,2,3.3333333333333335,2139315
Acidic,2,3.6666666666666665,2139315
Acidic,3,0.0,2139315
Acidic,3,0.0,2139315
Acidic,3,0.0,2139315
Acidic,3,0.0,2139315
Acidic,3,0.0,2139315
Acidic,3,0.6666666666666666,2139315
Acidic,3,0.6666666666666666,2139315
Acidic,3,1.6666666666666667,2139315
Acidic,3,3.3333333333333335,2139315
Acidic,3,3.6666666666666665,2139315
Acidic,3,4.666666666666667,2139315
Acidic,3,5.666666666666667,2139315
Acidic,3,5.666666666666667,2139315
Acidic,3,6.333333333333333,2139315
Acidic,3,7.0,2139315
Acidic,3,7.333333333333333,2139315
Acidic,3,7.666666666666667,2139315
Acidic,3,9.0,2139315
Acidic,3,10.666666666666666,2139315
Acidic,3,11.666666666666666,2139315
Acidic,4,0.0,2139315
Acidic,4,0.0,2139315
Acidic,4,0.0,2139315
Acidic,4,0.6666666666666666,2139315
Acidic,4,2.3333333333333335,2139315
Acidic,4,5.0,2139315
Acidic,4,5.0,2139315
Acidic,4,6.0,2139315
Acidic,4,9.0,2139315
Acidic,4,10.666666666666666,2139315
Acidic,4,11.666666666666666,2139315
Acidic,4,12.0,2139315
Acidic,4,14.333333333333334,2139315
Acidic,4,15.0,2139315
Acidic,4,16.0,2139315
Acidic,4,18.0,2139315
Acidic,4,19.0,2139315
Acidic,4,23.0,2139315
Acidic,4,24.333333333333332,2139315
Acidic,4,25.0,2139315
Acidic,5,0.0,2139315
Acidic,5,0.0,2139315
Acidic,5,0.0,2139315
Acidic,5,5.0,2139315
Acidic,5,7.0,2139315
